,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
51042,mdp.39015031468591|Peggy,mdp.39015031468591,1924,f,"Blakeborough, Richard,","The hand of glory and further grandfather's tales and legends of highwaymen and others collected by the late R. Blakeborough,",m,,1924,f,0
19566,8807|Mrs.Grant,8807,1840,f,"Dwight, H. G. O. (Harrison Gray Otis),",Memoir of Mrs. Elizabeth B. Dwight,m,,1840,f,0
79707,mdp.49015002377977|Candida,mdp.49015002377977,1996,f,"Arditti, Michael.",Pagan's father / | $c: Michael Arditti.,m,,1996,f,0
62901,mdp.49015001414128|Agnes,mdp.49015001414128,1953,f,"Lesser, Milton,",Looking forward : | an anthology of science fiction.,m,,1953,f,0
67850,mdp.39015000546955|Mary,mdp.39015000546955,1969,f,"Plunkett, James,",Strumpet city.,m,,1969,f,0
3336,10590|Emily,10590,1808,f,"Cunningham, J. W. (John William),",A world without souls,m,,1808,f,0
38275,8389|MargaretBezel,8389,1895,f,"Hume, Fergus,",The third volume,m,,1895,f,0
74872,mdp.39015020732668|Alice,mdp.39015020732668,1981,f,"Rushdie, Salman.",Midnight's children : | a novel / | $c: by Salman Rushdie.,m,,1981,f,0
29984,11336|Jagouski,11336,1872,f,"Grant, James,","The secret dispatch; or, The adventure of Captain Balgonie",m,,1872,f,0
11183,4837|DameUrsula,4837,1829,f,"Sir, Scott, Walter,",The Waverley novels,m,,1829,f,0
15221,14665|Martha,14665,1838,f,"De Merle, William Henry,","Melton de Mowbray, or, The banker's son",m,,1838,f,0
47080,wu.89005059522|Brad,wu.89005059522,1910,f,"McCutcheon, George Barr,",The rose in the ring,m,,1910,f,0
50454,uc1.$b236164|Alexis,uc1.$b236164,1925,f,"Davis, Elmer Holmes,",Friends of Mr. Sweeney / | $c: by Elmer Davis.,m,,1925,f,0
55099,uc1.b3796817|Yvonne,uc1.b3796817,1933,f,"Bates, Ralph,",Sierra.,m,,1933,f,0
